Year,e_g,e_d,eta_g,prod_e_g,prod_e_d,p_e,p_r_d,pkg,pkd
1995,32.25526709,7182.144733,0.57789891,38.3,8528.1,79,4863.83,11392.85714,3892.857143
1996,,,0.562488263,,,74,5917.3,10928.57143,3428.571429
1997,,,0.53143214,,,68,5881.65,10464.28571,2964.285714
1998,40.82143403,7729.678566,0.502490975,48.1,9107.9,64,5403.46,10000,2500
1999,45.76331403,7928.536686,0.453542857,53.8,9320.9,61,5561.44,9535.714286,2428.571429
2000,53.98198018,8288.61802,0.40870054,63.4,9734.7,58.6,8532.21,9071.428571,2357.142857
2001,59.42978953,8238.27021,0.379312169,68.5,9495.6,60,9497.66,8607.142857,2285.714286
2002,70.40349364,8297.396506,0.356242906,82.7,9746.6,59,7123.3,8142.857143,2214.285714
2003,81.44980236,8496.750198,0.33820059,94.4,9847.7,68,10900.79,7678.571429,2142.857143
2004,97.84426829,8648.455732,0.325525496,114.1,10085.3,73,13828.94,7214.285714,2071.428571
2005,114.6911701,8839.00883,0.304420068,134,10327.1,79,18188.41,6750,2000
2006,136.327662,8908.772338,0.296391684,158.8,10377.3,86,16377.23,6285.714286,1928.571429
2007,170.6476993,9068.952301,0.288202064,198.2,10533.2,93.7,16092.4,5821.428571,1857.142857
2008,207.7375575,9138.562443,0.281842924,241.8,10637,109,25647.15,5357.142857,1785.714286
2009,247.4923569,8705.207643,0.276354949,289.1,10168.7,106,12068.11,4892.857143,1714.285714
2010,299.8164699,9108.28353,0.272229374,344.9,10477.9,111.2,14438.91,4428.571429,1642.857143
2011,373.1962971,8961.003703,0.267906737,434.7,10437.8,119.5,17186.09,3964.285714,1571.428571
2012,441.3784732,8849.321527,0.264875009,515.4,10333.4,118.6,14373.95,3500,1500
