Location,Australia,Austria,Belgium,Brazil,Canada,Chile,China (People's Republic of),Colombia,Czech Republic,Denmark,Estonia,Euro area (18 countries),European Union (28 countries),Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Luxembourg,Mexico,Netherlands,New Zealand,Norway,OECD - Europe,OECD - Total,Poland,Portugal,Russia,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
1995,404439.7117,188640.0931,231756.7694,,682866.3062,107944.4157,2151437.394,,142742.0687,122351.6517,9112.6357,6386228.621,8699621.408,98616.1907,1233121.019,1887645.8,162951.1867,94151.6314,6379.3499,,984179.5384,66479.3603,108719.002,1249277.775,2875254.285,605264.2255,14761.211,16738.2322,700273.6734,354019.7345,65227.5236,105069.2319,8561643.7,22386512.32,292994.921,137228.076,831776.1558,45467.5353,26351.3003,266734.3268,647402.0896,201063.2172,204087.27,426206.4796,1222609.569,7664000
1996,424249.2919,195775.8843,236134.1037,,707011.2631,118063.5596,2430067.175,,151633.3,128822.4483,9843.3772,6609665.139,9058621.525,101660.9433,1273326.557,1938098.955,171103.6776,96932.139,6675.0031,,1078746.71,72582.7145,117116.7007,1289381.339,3004159.439,658549.7948,15128.3139,17522.1805,749803.6808,372436.9247,68281.1497,116545.5013,8930745.339,23531593.84,317560.3597,142873.6082,816404.35,49508.6319,27935.1424,283303.0864,679515.3816,208837.0661,210067.2463,465940.4959,1303446.052,8100200
1997,449227.8848,203597.0775,246933.8161,,749697.1703,128648.4475,2719019.758,,153573.3965,135835.7836,11194.3923,6893231.394,9469094.15,110964.4751,1333441.02,1982972.834,182207.9178,103340.7214,7253.0266,,1148770.824,81071.5631,123734.1894,1334699.649,3104327.467,710938.3615,16583.5558,18001.371,814281.1128,398418.4313,71947.4113,125528.4495,9362909.185,24819594.64,343706.6632,152230.7343,841844.795,53630.1284,29938.2201,295776.9664,719619.1995,216935.2543,219355.4312,510541.5331,1383301.454,8608500
1998,477479.3173,213314.5344,252727.4695,,789194.6135,135371.3043,3004044.849,,154175.9291,141209.2852,11740.5328,7229349.131,9900281.532,119968.8079,1404310.166,2038617.785,189755.0447,110481.4336,7796.463,,1008800.309,90752.3824,130494.0248,1404561.284,3075161.166,677161.5026,17987.808,19296.5458,864524.9107,428219.8197,73545.0988,123867.6737,9784687.652,25826831.48,365378.939,160656.536,805497.9518,56655.3478,31620.4587,300532.3206,770220.1394,226257.4073,227524.0711,535121.716,1430511.101,9089100
1999,509490.7282,221808.7774,264551.6914,,841313.8956,136692.0248,3285624.132,,158241.6185,146583.6586,12092.1049,7525289.921,10290602.38,126563.2475,1467027.853,2114896.352,197197.1911,114888.5888,8125.7787,,1031302.201,99468.2415,137346.7141,1432491.204,3115998.977,764178.2649,18128.3215,22202.4782,910731.3494,455254.3696,78921.1487,135677.6953,10141691.11,27059856.16,386926.0929,171721.7144,869766.0048,57016.9581,33706.9929,312012.4367,811151.5173,240797.6231,232594.1507,517741.4039,1475835.941,9660620
2000,538332.6151,236935.2653,289272.3563,1554883.26,894658.228,146961.447,3616328.235,266374.9627,167022.3736,157872.0851,13563.5539,8014014.022,10998736.42,137028.894,1582453.302,2186834.989,209165.7972,123280.7694,8347.5579,,1007214.295,112126.5077,155416.0507,1517958.204,3290078.491,850446.6908,19151.6336,24614.6983,1006364.577,502952.4459,83201.4178,165264.6049,10903657.76,28959417.77,405952.0201,183696.6495,999541.9977,60135.8871,35566.7488,332359.3757,880773.2587,260702.8128,247923.3406,589613.7874,1610121.185,10284780
2001,567995.6119,240057.3715,299713.8151,1597953.46,930496.4483,155221.8882,4006226.866,277049.8551,180282.3863,162048.9255,14611.9084,8453958.254,11601150.59,142853.2692,1682479.585,2279425.713,226658.6707,138672.7562,8929.8537,,1067829.158,122115.3994,159133.9818,1609591.79,3377019.185,909190.3171,21035.2592,24759.2415,1028961.231,525657.4115,87488.6168,170529.1617,11411746.64,30105259.56,419376.2205,192585.6993,1074368.626,65796.8679,37435.1347,349273.8806,946080.6059,265200.7873,255738.9468,561408.1559,1695911.939,10621830
2002,599254.0816,252654.3854,317334.2065,1662553.275,960640.8684,161844.5167,4437227.851,288351.0162,186790.727,169867.0097,16253.94,8766804.208,12081161.81,147807.4221,1761669.819,2342438.056,245880.1014,151212.9377,9217.1433,,1133022.969,134654.1869,164020.5709,1592528.938,3471742.388,989824.3999,23595.5326,26481.224,1067155.659,547213.8609,92140.6201,171238.1079,11833962.82,31226445.28,443177.0132,201429.3501,1166680.039,70758.6388,40145.825,367648.66,1021665.504,274803.9643,264995.2484,572093.632,1779990.724,10977520
2003,635471.4218,261504.0335,321737.3984,1719975.369,1014242.037,171298.8459,4979639.53,305637.5466,199877.1373,168540.564,18121.2807,8972446.569,12442861.82,150204.0692,1748498.982,2419858.675,259648.1541,157939.0612,9206.9451,,1210910.233,143026.1073,157484.75,1631797.508,3568590.851,1023674.368,25942.7385,27408.3771,1131831.791,546479.7017,96616.4349,177994.4311,12145774.34,32408362.77,460130.0577,207313.4153,1338513.751,74842.6463,41797.824,386054.6042,1068807.959,287215.1719,267255.5531,588910.9145,1860366.649,11510670
2004,674775.9294,276292.1311,332915.8645,1862605.112,1074841.241,188358.1333,5632108.135,330762.3155,214040.0262,179174.2495,19983.7651,9367717.381,13090201.87,162557.5872,1820697.367,2530116.321,277604.6785,165650.2726,10234.7044,2964288.86,1306693.347,154598.3769,169991.9067,1660855.774,3753278.773,1103360.282,28476.9785,29870.5258,1211914.008,572580.7373,102553.2596,198341.981,12814887.3,34392951.2,498393.2551,212854.3968,1474011.481,80669.7071,45323.2488,414702.2771,1135067.737,308199.2836,279113.6492,688601.6538,1985209.831,12274930
