Location,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
1995,59.4914,69.3411,140.9503,124.1109,,17.6398,81.5562,,62.8211,66.59,54.2451,97.4841,88.611,,,,121.2251,93.7609,,,,85.6786,37.2968,,67.4874,37.6236,,67.5286,75.9511,,,49.7084,83.0905
1996,57.2102,69.8678,142.793,130.1834,,16.2181,79.1281,,63.6704,72.5857,57.3442,98.5106,76.6134,,,,127.0736,100.587,,,,84.3181,32.9824,,68.0353,36.9885,,73.8563,78.9284,,,49.1736,80.5599
1997,54.1508,65.5157,137.4489,123.8479,,16.587,75.0022,,62.088,75.2472,58.8317,95.275,66.1009,,,,128.6442,109.7228,,,33.4063,78.8484,29.1862,,66.0327,38.1479,,73.0452,82.0657,,,49.8567,75.5159
1998,50.1183,67.2947,138.4336,122.2125,,17.4907,72.5738,,59.0495,77.0232,60.557,92.4193,65.1239,,61.4631,,130.6194,120.6599,,,35.3072,76.2709,27.5631,,65.3109,40.3485,,73.4682,82.6131,,,50.9285,70.9523
1999,45.0908,70.5367,126.7291,112.0087,,23.3932,67.0955,,52.9526,73.4551,59.858,95.7793,66.8018,,50.5606,,123.6966,133.4102,,,33.0119,67.5822,28.7132,,62.4565,52.6321,,67.948,72.9398,52.5111,,46.691,65.5222
2000,42.8841,70.5365,120.6848,102.6167,,24.0109,60.4558,,50.9522,71.9048,59.3955,110.8388,61.0289,,38.926,,118.9452,144.5019,,,30.5313,60.0605,32.2112,,62.0183,57.8588,,65.1653,62.7314,52.679,,44.1486,61.5399
2001,41.6217,71.6117,119.2,102.5732,,27.9599,58.2771,,48.3539,70.989,58.543,113.0459,59.057,,35.771,91.9654,118.0919,151.3678,,,30.6521,56.2218,31.3066,,63.4591,56.5165,32.9507,60.5686,64.0254,52.551,,39.8356,63.9259
2002,40.7368,73.3748,118.3363,101.2819,,30.1434,58.1475,,48.1829,74.6431,60.9694,111.7844,60.0971,,34.2568,95.8422,116.9082,161.7529,18.1348,,32.5717,57.0563,38.6723,,66.812,49.1546,34.0354,59.2528,64.2245,60.0011,,40.351,70.5297
2003,38.2512,72.0105,114.7432,96.2787,,32.5652,56.0692,,49.1426,78.5126,64.4336,105.9097,60.8971,65.9433,33.0814,101.2149,114.2359,172.2588,18.6799,,32.1467,58.114,48.0057,54.8852,70.6191,47.2773,33.4586,54.3754,63.041,58.4173,,40.566,71.3762
2004,37.5,71.2602,110.3672,91.7359,,32.223,52.363,,49.3523,80.0193,67.3675,107.5896,64.3814,59.4628,31.6221,98.9845,114.6423,178.7583,22.0316,,30.5506,58.3927,49.8839,53.7429,76.6516,44.8706,34.2721,52.4727,62.4607,59.486,,42.7019,79.1438
2005,36.7004,75.8449,107.9567,90.53,17.3898,31.8703,45.1037,,46.4891,81.6655,69.8742,111.3681,67.5079,49.5346,31.4999,96.7995,117.3781,180.1949,24.0198,,30.4865,57.5754,46.9144,54.4243,79.9765,37.1976,33.3737,49.943,63.5676,56.9344,,44.6321,78.1542
2006,36.3478,72.3736,99.6545,89.1241,14.0999,31.5795,40.4818,,43.0394,76.8595,68.0264,117.8455,71.0386,54.7136,27.7662,86.6506,114.9604,180.015,26.8608,,28.4046,51.4814,57.813,54.5625,79.4087,35.2323,33.2685,45.651,57.2854,50.6599,,44.2369,75.5798
2007,34.1311,68.7239,93.5942,84.2724,12.1781,30.2512,34.5855,,39.0559,75.5645,63.9796,112.8329,71.7197,49.494,27.4767,82.6527,110.6284,180.0182,26.8259,,27.9043,48.5191,55.5602,50.9351,78.1007,33.8165,29.1188,41.6973,51.8248,50.4568,,45.2669,75.7233
2008,35.0787,74.0383,100.727,88.457,12.4304,34.2025,42.0314,8.4023,38.242,81.5109,67.8369,117.2258,75.2679,95.3452,47.6384,82.1199,112.9256,184.1986,27.7748,19.2905,29.8437,61.298,54.226,53.9855,82.7615,32.8371,28.3469,47.061,50.6014,48.5933,,55.1711,91.7955
2009,43.2851,79.5236,109.0915,102.0784,13.4409,41.0136,49.4953,12.6282,49.1899,93.1565,75.2882,134.6374,84.3787,109.6412,68.2573,84.6834,125.8888,207.3291,30.8284,19.0172,37.1384,63.681,48.0651,57.1608,96.1121,41.3692,42.4955,61.6599,54.4563,46.4046,54.2992,68.954,104.8609
2010,46.8722,85.2862,107.4892,103.8032,15.5595,45.791,53.806,11.9348,55.0241,96.8256,83.807,128.3011,86.3446,114.4001,85.1652,80.7541,124.7773,210.6288,31.7035,26.3581,,67.6111,48.4194,61.0047,104.0708,46.1791,46.5659,66.4202,51.843,44.7394,52.5089,77.805,115.294
2011,50.6587,86.9145,110.3254,106.8148,18.3167,48.9437,60.5522,9.5112,57.4829,100.6963,83.2592,110.1852,95.341,121.8744,110.993,79.5717,117.762,226.4618,33.1438,26.0212,,71.6014,33.8103,61.6614,107.4613,49.0977,50.0401,77.0297,52.7646,44.9503,47.7824,92.1316,120.9114
2012,62.6726,91.944,120.3127,109.0383,18.7885,58.518,60.1782,13.2031,63.4101,110.4236,86.1639,164.2397,98.1609,119.8777,131.256,79.7876,136.0109,234.7797,34.7307,29.5844,,77.8755,34.376,61.1907,136.3065,57.6159,60.2817,90.7895,53.5084,45.6834,46.3856,95.5635,123.6544
