Location,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Finland,France,Germany,Hungary,Ireland,Israel,Italy,Japan,Korea,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,United Kingdom,United States
1995,-2.6891,-6.1479,-4.4455,-5.2047,-12.4274,-3.6202,-5.9286,-5.1245,-9.3373,-8.6518,-2.147,-4.0501,-7.2507,-4.5624,3.0726,2.4119,-8.6297,2.2954,3.154,-4.1801,-5.1782,-3.3417,-8.177,-4.769,-7.0378,-7.0005,-2.1135,-5.6108,-4.1206
1996,-0.854,-4.3575,-3.951,-2.7276,-3.0755,-2.4826,-3.2471,-3.8997,-3.3882,-4.3882,-0.2565,-4.9936,-6.6486,-4.905,3.1941,1.2468,-1.7431,2.4065,6.1621,-4.5364,-4.7377,-9.7209,-1.097,-5.8336,-5.3722,-3.087,-1.9739,-4.0552,-2.9788
1997,0.5103,-2.3889,-2.3031,0.2494,-3.4932,-1.2001,-1.2092,-3.6261,-2.83,-5.5537,1.3285,-4.142,-3.0108,-3.7863,2.7129,3.5525,-1.2857,0.9588,7.4867,-4.5516,-3.7047,-6.1684,-2.3107,-5.6659,-3.9131,-1.5541,-2.8604,-2.162,-1.5999
1998,0.7763,-2.7244,-0.9868,0.2183,-4.6442,-0.3885,1.6356,-2.4067,-2.4245,-7.4825,2.0327,-6.9041,-3.0201,-10.3113,0.6476,3.3789,-0.9115,-0.0133,3.2522,-4.1655,-4.3863,-5.237,-2.3305,-4.2763,-2.9489,0.8563,-1.8587,-0.2298,-0.3948
1999,2.0671,-2.5969,-0.5547,1.7927,-3.445,0.8687,1.6837,-1.5783,-1.5398,-5.1485,2.4213,-5.5776,-1.8038,-7.1436,1.6418,3.4305,0.3233,-0.2128,5.8725,-2.2454,-3.0306,-7.3118,-2.9769,-3.0396,-1.3227,0.7789,-0.9355,0.7632,-0.0028
2000,-1.0776,-2.0486,-0.0892,2.9347,-3.4671,1.8875,6.8552,-1.3185,0.9814,-3.0395,4.8967,-3.2741,-1.3232,-7.5105,4.3586,5.707,1.8663,1.6691,15.1021,-2.971,-3.2149,-12.104,-3.6396,-3.3004,-1.0225,3.2353,-0.4461,1.1672,0.8019
2001,-0.6812,-0.6163,0.1637,0.7534,-5.3375,1.1407,4.9828,-1.4365,-3.0563,-4.0708,0.9749,-5.5452,-3.3918,-6.0392,2.9651,5.9649,-0.3646,1.3476,13.1857,-4.7834,-4.7884,-6.4282,-3.8827,-1.9938,-0.5488,1.439,-0.8228,0.4062,-1.3657
2002,0.8017,-1.3448,0.0567,0.0329,-6.2707,-0.0153,4.0711,-3.0877,-3.8875,-8.8725,-0.3231,-6.948,-3.0718,-7.7061,3.5146,2.2821,-2.1076,3.3163,9.0505,-4.8457,-3.3403,-8.098,-2.4034,-2.7193,-0.4145,-1.4693,-2.6657,-2.077,-4.7303
2003,0.779,-1.7657,-1.7508,0.0581,-6.4026,-0.1331,2.4418,-3.8594,-4.0723,-7.1654,0.7527,-7.1447,-3.4121,-7.6709,-1.9638,0.5476,-3.0455,3.444,7.2456,-6.0771,-4.4216,-2.7181,-2.6187,-3.7002,-0.3684,-1.313,-2.4228,-3.3882,-5.879
2004,0.9598,-4.7761,-0.1912,1.0068,-2.7111,2.0744,2.2079,-3.489,-3.6655,-6.3827,1.3955,-5.0529,-3.5653,-5.9466,0.2313,-1.0683,-1.7566,3.8981,10.9231,-5.1543,-6.1945,-2.3072,-1.9648,-3.7639,-0.0423,0.3263,-2.2142,-3.5898,-5.4373
