Location,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Korea,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Russia,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
1995,34.19,49.3027,47.5309,42.5278,39.3844,54.9061,,55.124,49.0597,45.2531,,46.7643,38.7721,46.4814,44.5351,31.1389,25.0426,40.9507,,45.1078,43.2855,53.4202,43.5316,37.4458,,44.8109,43.8937,37.2931,56.5096,31.9764,,36.2484,32.9982
1996,35.1601,50.9082,48.3286,43.0595,37.7965,55.5157,,56.2649,50.3636,45.4384,,46.6698,38.8297,45.342,44.9727,31.4714,25.6894,41.0053,,45.5152,42.5057,54.0302,46.4777,38.4116,,43.3664,42.8551,37.6135,58.3495,32.4248,,36.1501,33.4441
1997,35.3773,49.5265,48.7596,43.7582,37.9597,54.7073,,54.8836,50.2905,45.1686,,44.0906,37.9098,45.4583,46.5942,31.5407,25.9755,42.733,,44.3353,41.6253,53.7542,42.3446,38.7437,,42.0739,41.8696,37.6928,57.6931,31.6652,,36.7152,33.706
1998,36.62,49.1454,49.2633,43.709,37.0797,55.0066,,54.0006,49.9373,45.2218,,43.358,36.7337,44.8786,45.2733,31.1555,27.0134,42.9885,,43.333,39.9105,51.7376,40.8366,38.3121,,40.1325,42.6962,38.0816,58.127,32.6483,,38.0481,34.0391
1999,37.3995,49.126,49.1167,43.5876,37.5966,55.4021,,52.6429,50.4784,46.0643,,43.6158,36.4435,44.7939,45.5451,31.0698,27.3175,41.1638,,43.9961,39.0124,53.0021,41.0516,39.5221,,40.4372,42.8467,38.6114,57.3506,32.8843,,38.9386,34.0061
2000,35.1212,48.2865,48.5868,43.4142,36.8843,54.5742,36.3339,54.8697,49.8099,45.6719,,44.2265,35.94,44.7388,44.1567,31.2794,29.0709,42.109,,43.5782,39.2507,57.1359,38.9967,39.4292,,39.7342,42.5015,38.0658,56.8291,33.7453,,39.128,34.4731
2001,35.2021,50.3989,48.9333,41.9045,37.1643,53.9779,35.2555,52.3211,49.7783,43.8496,,43.2839,33.6701,44.4735,44.1073,32.0016,29.3742,43.1099,,42.8241,38.3432,56.9874,40.1528,39.3248,,37.8716,43.0685,37.9094,54.4777,33.0199,,39.6879,33.582
2002,35.7286,49.3488,49.0771,40.4443,38.0432,53.1991,36.5575,52.5959,49.2108,43.3708,,42.1915,32.9119,44.3852,43.6949,30.5666,29.5858,42.8703,,41.8896,39.8148,55.7571,40.445,40.3783,41.6147,36.6922,43.4271,38.2075,52.7726,33.6089,,38.0713,31.2878
2003,35.8779,49.2462,48.3991,40.2969,42.1086,53.5063,36.9846,51.8252,48.9249,43.6997,,42.1142,33.9025,43.0212,43.8123,30.1574,30.6064,42.8569,20.3573,41.7713,40.2039,55.1136,39.6043,40.901,38.1475,36.8627,43.1947,37.9062,53.0563,33.2457,,37.7485,30.6846
2004,36.004,48.6593,48.2016,39.9938,39.4347,55.0992,36.6892,51.5154,49.0349,42.6298,,42.4766,34.6949,41.8951,43.2518,30.6515,29.8593,41.6809,20.7068,42.1887,40.5805,55.9017,38.5924,39.8697,39.4712,35.2074,43.3565,38.6461,53.1068,32.7197,,38.6775,30.8716
