Location,Australia,Austria,Belgium,Canada,Czech Republic,Denmark,France,Germany,Hungary,Ireland,Italy,Japan,Netherlands,New Zealand,Portugal,Slovenia,South Africa,Spain,Sweden,Switzerland,United Kingdom,United States
1995,4.7422,14.6464,15.8343,7.9491,6.6381,-0.4833,10.81,10.9543,,,15.9778,11.1819,13.685,,5.4746,4.0361,1.641,,7.4276,14.3986,,6.6122
1996,5.939,11.9185,13.91,5.5137,6.5401,-2.0949,10.0232,10.4822,,,16.4451,9.2518,12.7636,,4.3298,4.3602,1.8863,,5.2595,13.7001,,6.1497
1997,3.0869,10.4263,13.1152,3.3247,6.8956,-4.9427,11.1086,10.0679,,,13.6348,8.6766,12.6856,,3.7191,6.7907,1.9809,,2.1945,13.7788,,5.9565
1998,1.4034,10.3627,12.5577,3.4655,5.4381,-3.3802,10.5759,9.9017,,,9.9134,9.8405,10.5916,-1.7992,5.0724,5.5842,1.4202,,1.7175,13.8573,,6.4249
1999,1.2007,11.7269,12.4911,3.1895,4.9161,-7.2272,10.1713,9.4184,8.0543,1.1721,8.6986,8.273,8.6092,2.921,4.5383,2.7216,1.2396,5.9116,1.8651,14.577,3.7504,4.5825
2000,2.3412,10.4703,11.7264,3.7768,6.0124,-5.9885,10.0445,8.9436,6.0823,-3.5225,7.3356,6.9786,6.9406,-2.5534,3.4707,6.7167,1.0332,6.4475,4.0052,15.3147,5.2871,4.327
2001,3.508,8.8211,13.0071,3.567,6.2218,0.0454,10.6559,9.5541,6.71,1.1959,8.822,3.7791,9.2473,-1.386,4.0472,8.562,0.3925,6.1672,8.0126,15.5226,5.8988,4.5038
2002,0.0289,8.9476,12.2127,2.2964,6.282,1.1821,11.6259,9.5654,5.2755,0.0164,9.5037,3.2947,8.985,-6.6183,3.864,8.944,0.7383,5.967,7.7676,15.2942,4.4743,5.2008
2003,0.4558,9.1712,11.6596,1.6614,5.6855,1.8204,10.8598,10.2678,2.9556,0.3926,8.9972,2.6848,8.3422,-4.1081,2.6992,6.578,0.6244,7.4436,6.5566,14.8282,3.5583,4.9999
2004,1.5027,9.2126,10.2745,2.251,4.8507,-2.2278,10.9502,10.0373,6.1896,1.2009,9.4529,2.3078,7.7274,-3.7567,2.7136,7.5375,0.3748,5.7595,5.8236,13.7034,1.293,4.729
2005,1.1162,10.7412,9.9324,1.5435,6.1009,-4.5867,9.4133,10.0437,7.169,1.9255,8.9285,1.5519,6.746,-5.9423,1.787,9.506,0.1151,4.0565,5.4079,13.9653,0.5677,2.6339
2006,1.8211,11.298,10.5856,3.4583,7.8376,-1.7262,9.3788,10.0129,7.8686,-0.5944,8.3227,1.307,5.0033,-3.2815,0.3589,11.2946,-0.8339,2.2564,6.9241,15.8002,-0.6202,3.4204
2007,3.9503,12.0881,10.8375,2.9222,7.0153,-3.1353,9.7735,10.1955,4.1855,-0.6931,7.8695,1.0832,5.1701,-0.9869,-0.7794,9.9517,-1.1889,0.0227,9.3628,17.4118,-0.1783,3.0842
2008,10.0096,11.9471,11.237,3.9222,6.3048,-4.1764,9.4627,10.4585,3.5225,6.2989,7.6197,0.5592,5.3828,-1.0737,-1.1317,9.6861,-1.2283,2.5851,12.6687,16.6721,-0.7632,5.1365
2009,9.1442,11.2591,12.7646,5.1369,8.5077,0.8378,10.8173,9.9572,5.5082,12.2027,6.8489,2.278,8.696,1.1053,2.7268,7.8528,-0.7238,9.5286,12.2031,17.0522,3.5234,6.3884
2010,10.1541,9.4431,10.0886,4.2832,7.6098,2.1319,10.3506,9.9274,6.0863,9.5589,3.9914,2.1451,5.1381,3.0282,1.3435,6.2486,-0.6052,4.6272,10.9236,17.0132,5.4817,5.7986
2011,11.1836,7.8315,8.5281,4.2772,5.9504,0.9147,10.0409,9.5566,6.8474,7.254,3.5282,2.6413,6.0227,1.6527,-0.9101,5.8208,-0.2533,5.9868,12.6218,17.8372,2.9399,6.2375
2012,10.2552,9.0312,7.5133,4.9822,6.2026,-0.0496,9.6171,9.3868,4.8122,8.467,1.9617,1.3586,6.5097,2.1766,-0.4457,3.5197,0.0071,3.5148,15.2148,17.5205,2.2623,7.4812
2013,9.6677,7.2749,6.888,4.9303,4.3303,-0.3938,9.4885,9.0812,5.3598,8.1277,3.7572,-0.0457,7.8418,,0.6712,6.7562,-0.0308,4.886,15.5995,,0.268,5.0288
2014,,,,3.8147,,-6.2819,,,,,3.4593,,,,-1.2627,,,,15.9528,,,
