Sector,Transaction,Country,Position,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
S1,BF90,AU,ASS,-203847.645,-229262.9929,-188833.2926,-197518.0309,-222046.825,-200398.974,-178983.171,-226038.9302,-329266.5001,-380457.3681,-388213.8767,-466328.1248,-564202.8418,-485060.456,-675101.1143,-751472.5458,-812019.9331,-861650.5356,-743360.3909
S1,F_AS,AU,ASS,1676475.735,1947077.923,1794308.226,1871678.609,2194163.914,2008230.056,2019280.543,2481706.125,3582669.001,4244125.211,4525780.026,5735153.281,7362392.356,5666136.851,7877219.771,9364198.36,9422932.81,10652295.63,10012324.26
S1,F1,AU,ASS,3109.63,2954.218834,763.0063117,754.4831121,815.2885999,792.2199998,817.4706001,1014.0642,1239,1317.289001,1508.4872,1830.276901,2331.832001,2407.48,7630.825197,8373.295698,8661.036799,8810.953996,7796.767499
S1,F2,AU,ASS,231024.5,273058.5504,233759.9397,246252.4831,281740.7264,243445.8819,247632.3198,302477.6289,464475.0001,523692.8772,562633.4429,712033.1053,840379.0291,827575.2335,1107714.551,1393046.475,1503989.853,1635139.506,1526618.601
S1,F3,AU,ASS,245667.475,270802.8621,238679.3396,241777.1521,275414.5576,253326.4719,244855.1664,297907.2625,425938.5001,478254.5862,479877.9525,593170.3497,829914.4371,810305.8079,975612.8406,1107805.619,1138041.751,1310193.437,1207342.08
S1,F4,AU,ASS,426432.7851,490469.6219,443346.4818,459693.8525,527731.6687,489260.1139,493212.0277,591501.2133,871486.5002,1022909.574,1094890.972,1345482.999,1718317.745,1506872.561,1992431.958,2360882.176,2539091.404,2733678.596,2461322.925
S1,F5,AU,ASS,388611.3701,464550.7125,469705.119,512718.8519,618819.7385,572139.0679,591832.3753,727412.9937,1084789.5,1340227.435,1429247.6,1877058.557,2374717.433,1372548.341,2108163.449,2436858.732,2151391.182,2452410.636,2426937.363
S1,F6,AU,ASS,310816.98,365173.7858,334251.5913,336340.4679,409260.4935,372858.0659,365876.0467,411650.6143,603291.0002,728343.1883,808058.294,1016081.426,1334109.412,912578.3295,1398737.075,1700405.067,1728801.037,2121427.586,2037637.093
S1,F7,AU,ASS,70812.99501,80068.17155,73802.74823,74141.31809,80381.44099,76408.23398,75055.13641,149742.3478,131449.5,149380.2611,149563.2776,189496.5676,262622.4689,233849.0976,286929.0727,356826.9951,352956.546,390634.9148,344669.427
S1,F_LI,AU,LIAB,1880323.38,2176340.916,1983141.518,2069196.64,2416210.739,2208629.03,2198263.714,2707745.055,3911935.501,4624582.579,4913993.903,6201481.406,7926595.198,6151197.307,8552320.886,10115670.91,10234952.74,11513946.17,10755684.65
S1,F2,AU,LIAB,238814.965,279275.2336,242034.8704,260591.9596,292301.5578,255912.5439,267790.2972,322816.0991,493710.7501,543500.5102,582188.0153,729520.8353,895196.0355,890147.5439,1158586.719,1438516.753,1571587.173,1752338.305,1616202.972
S1,F3,AU,LIAB,359617.4601,415053.8074,367192.0554,361010.0398,407720.1407,385526.9379,372711.4489,452800.3317,643076.2502,756030.4063,782351.6471,991437.9702,1286744.57,1209233.904,1518080.383,1758499.824,1873462.086,2063911.868,1919123.568
S1,F4,AU,LIAB,451053.5451,505126.0201,454551.3828,473399.1702,549788.9193,515524.6999,512187.9661,626615.2387,913902.7502,1066442.431,1145133.281,1392787.704,1799729.978,1575345.449,2046501.574,2399834.923,2559173.878,2751675.084,2511776.299
