Year,GDP,C,G,I,X,M,gdp,c,g,i,x,n,Disc,Inflation,Price,POP,LFS,N,U,B,M1,M3
1995,22386512.3,13410590.4,3720296.7,5140676.1,4393784.7,4285956.9,28477653.2,16866931.6,5243679.7,6233840.8,4908549.6,4754987.8,-1646.3,,77.1313257,1109776,,,,11768414.62,31.2672,33.3484
1996,23531593.8,14115284.8,3871536.8,5457674.2,4693716.3,4627599.6,29297966.3,17363651.1,5330121.4,6506799.1,5232370.6,5118963.7,-1233.4,0.02704166,79.27505478,1117929,518432.3,481126.7,37305.9,11872300.42,33.6858,36.4718
1997,24819594.6,14861634.7,4018241.6,5836645.3,5231073,5136026.2,30273219.3,17869370.6,5395471.3,6836055.8,5811486.6,5640062.4,10557,0.025317495,81.33423382,1126080,525458.3,489185.7,36272.6,11636392.67,36.6907,39.6978
1998,25826831.5,15557915.7,4169343.6,6027716,5506416.7,5430928.8,31048469.3,18435052,5497797,7051155,6123186.1,6058020.7,5550.2,0.017551812,82.78730092,1133829,530555.3,494750.7,35801.5,13402931.03,39.6799,43.4126
1999,27059856.1,16409030.8,4405678.5,6327394.7,5725489.7,5806440.1,32051376.3,19166565.3,5639640.5,7357036.7,6437154.8,6550437.3,3344.1,0.017716614,84.28046542,1141667,534877.3,499750.7,35125.2,13947145.69,43.5714,47.1276
2000,28959417.8,17621025.1,4704727.2,6882100.6,6660202.7,6905683.2,33292843.2,19900086.1,5781247.2,7740260.6,7200770.2,7338709.3,6996.9,0.034824322,87.32137308,1150110,541068.4,507935.3,33132.3,13163898.88,47.2293,50.8656
2001,30105259.5,18439873.3,5026638.7,6806248,6778768.1,6946315.6,33727887.3,20354386.6,5960843.2,7567052.1,7177588.9,7333097,1340.4,0.029305806,89.95765468,1158491,544652.6,510705.3,33948.4,13205080.04,51.1108,55.5204
2002,31226445.3,19180700.8,5352648.9,6853554.9,6846911.5,7007668.3,34242579.4,20808368.9,6140077.2,7486455.1,7324899.9,7519040.4,4329.2,0.023742962,92.14546082,1166567,549683.5,512352.2,37330.9,15486534.19,56.6476,59.638
2003,32408362.8,19928878.5,5616455.4,7130736.9,6983332.9,7250769,34967286.9,21286950.1,6265142.8,7720841.1,7511555.3,7825641.9,10025.8,0.017630337,93.79917179,1174065,553328.6,514950.4,38379,18503019.41,61.7788,63.7137
2004,34392951.2,21046206.1,5916882.3,7739399.5,7820694.9,8142046,36069494.6,21921367.5,6370128.7,8113741,8190628.6,8530093.9,3992.1,0.030212043,96.72132053,1180708,557514.4,519366.3,38145.5,20443973.01,66.9648,67.4516
2005,36428752.8,22326465.4,6257859.2,8326320.5,8535277.1,9023325,37010152.8,22548469.6,6460341.9,8413637.8,8661740,9077192.6,3154.9,0.032786795,100,1192096,564359.8,527108.8,37239,19973157.99,72.1957,71.7232
2006,39108391.3,23835985,6692816.8,9145656.9,9752058.3,10332209.9,38132706.2,23153782.2,6576954,8794204.7,9407182.2,9799123.1,216.7,0.040908149,104.0908149,1200391,571985.1,537247,34736.6,21377609.11,77.0592,77.0048
2007,41275982.3,25050642.6,7042977.4,9652128.3,10666732.8,11159460.7,39120147.5,23697754.9,6697293.5,9017503.6,10048204.3,10341461.4,2093.9,0.027281535,106.9305721,1209344,578326.8,545803.1,32525.3,24137465.76,80.2451,83.606
2008,42548256,25990829.7,7520913.9,9688023.4,11503689.7,12155503.7,39201463.9,23722866.8,6854478.5,8732958.3,10252087.4,10371341.4,9033.5,0.026428974,109.7566374,1219435,584434.1,549856,34576.8,25021168.55,83.9631,91.0316
2009,41674734.8,25775965.2,7879317.9,8158326.1,9988089.1,10120877.8,37814318.6,23420417.9,7051142.8,7367449.2,9105155.2,9156698.6,19825.9,0.013973314,111.2903014,1227004,586795.8,539135.9,47663,29464203.47,92.92,97.1959
2010,43438015.5,26745400.3,8094471,8865049.7,11428252.8,11704015.6,38912769.4,23883252.3,7118530.7,7935887.6,10139248.4,10196102.7,26573.1,0.011545039,112.5751523,1235838,592486.3,543335.6,49148.3,22186268.34,100,100
2011,45310646.9,28014789.5,8276543.7,9482171.5,12815284.3,13298412.6,39599876.2,24253205.1,7089817.8,8244926.3,10775254.2,10774613.5,9781,0.021858865,115.0359174,1244904,595677.3,548493.3,47181.9,,108.7322,105.0962
2012,46574637.9,28851431.3,8430509,9619547.1,13338083.7,13644657,40081782.2,24512460.2,7124341.6,8260367.9,11062274,10885040,7592.4,0.013371584,116.5741298,1252031,,,,,118.1119,111.5249
2013,47765468.9,29631513,8559430.7,9739304.7,13674859.5,13800980.9,40637241.3,24899872.9,7149461.6,8330254.7,11360297.4,11092514.7,-6533.7,0.009826368,117.7196301,,,,,,128.408,117.4011
